display_name,user_id,reputation_scaled,gold_badges_scaled,silver_badges_scaled,bronze_badges_scaled,cluster,quality_score,candidate_level
Jon Skeet,22656,1.0000000000000002,0.9999999999999999,0.9999999999999999,1.0,2,1.0,Strong
VonC,6309,0.8941688584990386,0.635754189944134,0.5139232340608536,0.615022469505671,2,0.6647171880024243,Strong
Gordon Linoff,1144035,0.8356686189654552,0.06927374301675977,0.07504569401139663,0.09158998502032956,2,0.2678945102534853,Strong
Martijn Pieters,100297,0.7444129959312653,0.36424581005586587,0.45521986883130844,0.36903488123261285,2,0.4832283890127631,Strong
BalusC,157882,0.7280933527095319,0.42122905027932955,0.3922158907644339,0.3844425422640702,2,0.48149520900434145,Strong
T.J. Crowder,157247,0.7063485073521465,0.22458100558659216,0.21685840232233092,0.21025037449176118,2,0.33950957243820773,Strong
Marc Gravell,23354,0.6989910231620302,0.3050279329608938,0.2825502634125363,0.3173550181895998,2,0.40098105943126505,Strong
Darin Dimitrov,29407,0.679698894942839,0.30949720670391057,0.35641328889366736,0.3155360582067194,2,0.4152863621867841,Strong
CommonsWare,115145,0.6590869967292657,0.21787709497206703,0.2624448983980217,0.28696768671089234,2,0.3565941692025617,Strong
Greg Hewgill,893,0.6544150910160895,0.21564245810055865,0.12665304805934846,0.13931093515942647,2,0.28400538308385576,Strong
Quentin,19068,0.6174188288075498,0.153072625698324,0.1365444575852059,0.15043869034881233,2,0.26436865060997305,Strong
Hans Passant,17034,0.6159649466954374,0.16871508379888267,0.18847435759595743,0.2819387973464584,2,0.313773296359184,Strong
SLaks,34397,0.5791374922768769,0.20335195530726255,0.2082571766476723,0.21346030387331477,2,0.30105173202628166,Strong
akrun,3732271,0.5788372412670326,0.042458100558659215,0.062358886141275126,0.07468435694414723,2,0.18958464622777854,Strong
paxdiablo,14860,0.5776142188202672,0.27150837988826815,0.1730996667025051,0.21431628504172906,2,0.3091346376131924,Strong
Alex Martelli,95810,0.5768362350925375,0.19553072625698323,0.1336415439200086,0.15086668093301947,2,0.2642187965506372,Strong
unutbu,190597,0.5759828550001135,0.2201117318435754,0.19793570583808193,0.18371495827091802,2,0.2944363127381722,Strong
jezrael,2901002,0.5634296938907595,0.11508379888268155,0.15396193957638962,0.14294885512518724,2,0.24385607186875446,Strong
Mark Byers,61974,0.5474009605363418,0.22569832402234635,0.1734222126653048,0.15739353734217845,2,0.27597875864154287,Strong
Christian C. Salvad&#243;,5445,0.5390860092370556,0.20670391061452512,0.09880657993764111,0.09019901562165633,2,0.23369887885271953,Strong
Felix Kling,218196,0.5316117607653332,0.20223463687150836,0.11869691431028921,0.1251872458805906,2,0.24443263945693033,Strong
Ignacio Vazquez-Abrams,20862,0.5208107311045368,0.17877094972067037,0.14611332114826361,0.148084742135673,2,0.24844493602728593,Strong
Lara Bailey,19563,0.5197138140819059,0.12290502793296089,0.06891732071820235,0.07115343462443827,2,0.19567239933937683,Strong
anubhava,548225,0.5118866038675,0.07486033519553072,0.06397161595527363,0.0716884228546972,2,0.1806017444682504,Strong
Barmar,1491895,0.5108303875373146,0.06368715083798882,0.058595849908611976,0.07136742991654184,2,0.17612020455011432,Strong
marc_s,13302,0.4915656155212425,0.2078212290502793,0.1482636275669283,0.16060346672373207,2,0.25206348471554557,Strong
Jonathan Leffler,15168,0.4913928043844655,0.16201117318435754,0.1023545855284378,0.14262786218703188,2,0.22459660632107314,Strong
JaredPar,23283,0.4912560233688697,0.16983240223463686,0.13482421245027415,0.15664455381981596,2,0.23813929796839917,Strong
Sergey Kalinichenko,335858,0.4708522991887885,0.09497206703910614,0.1235351037522847,0.16820029959340893,2,0.2143899423933971,Strong
BoltClock,106224,0.4705073441397008,0.1843575418994413,0.15256424040425762,0.14840573507382837,2,0.23895871537930705,Strong
Stephen C,139985,0.46709649266787034,0.10726256983240223,0.09031286958391571,0.13620800342392467,2,0.20021998387702825,Strong
jfriend00,816620,0.45883692099928874,0.11731843575418993,0.1118159337705623,0.10988658249518511,2,0.19946446825480654,Strong
Guffa,69083,0.45346309514754335,0.12625698324022344,0.08063649069992473,0.10945859191097797,2,0.19245379024966736,Strong
JB Nizet,571407,0.4475895181705239,0.10502793296089384,0.13471669712934092,0.13642199871602823,2,0.20593903674419672,Strong
Bergi,1048572,0.43194043553744266,0.18100558659217875,0.11041823459843028,0.15931949497111061,2,0.2206709379247906,Strong
Erwin Brandstetter,939860,0.4310156624271224,0.17877094972067037,0.1241801956778841,0.14198587631072115,2,0.2189881710340995,Strong
Eric Lippert,88656,0.4270430079546501,0.20670391061452512,0.1349317277712074,0.22351808260218275,2,0.24804918223564135,Strong
G&#252;nter Z&#246;chbauer,217408,0.42578729150903494,0.26256983240223464,0.22115901515966024,0.17194521720522146,2,0.2703653390690378,Strong
Gumbo,53114,0.4229802781792245,0.12513966480446925,0.08418449629072143,0.09094799914401884,2,0.18081310960460853,Strong
Nick Craver,13249,0.4055330256094095,0.1541899441340782,0.13944737125040318,0.12390327412796918,2,0.20576840378046501,Strong
Wiktor Stribiżew,3832970,0.40538290010448735,0.04581005586592178,0.05311256854101709,0.0676225123047293,2,0.1429820092040389,Strong
cletus,18393,0.4026346025277132,0.1888268156424581,0.09805397269110848,0.10089878022683502,2,0.19760354277202868,Strong
David Heffernan,505088,0.3955546837155863,0.05139664804469273,0.12020212880335449,0.1643483843355446,2,0.18287546122479453,Strong
Remy Lebeau,65863,0.39168945238219155,0.04022346368715084,0.05451026771314912,0.09330194735715815,2,0.1449312827849124,Strong
Sven Marnach,279627,0.39002139121639023,0.13743016759776536,0.10310719277497044,0.09244596618874384,2,0.18075117944446745,Strong
Frank van Puffelen,209103,0.3870135433222174,0.09497206703910614,0.09525857434684443,0.09276695912689921,2,0.1675027859587668,Strong
Daniel Roseman,104349,0.3858318887923638,0.0759776536312849,0.09687130416084293,0.09865182965974749,2,0.16433316906105977,Strong
Bite code,9951,0.38518334661110026,0.1318435754189944,0.03225459627996989,0.035737213781296816,2,0.14625468302284034,Strong
Bozho,203907,0.38402304326416886,0.16424581005586592,0.1143963014729599,0.12315429060560668,2,0.19645486134965034,Strong
Pascal Thivent,70604,0.36589989230997116,0.15642458100558657,0.1140737555101602,0.12112133533062273,2,0.18937989103908517,Strong
Bill Karwin,20860,0.3630655227770416,0.09720670391061452,0.07547575529512957,0.09330194735715815,2,0.15726248233498596,Strong
Reed Copsey,65358,0.3624149789223791,0.08938547486033518,0.12654553273841523,0.14883372565803552,2,0.18179492804479128,Strong
Konrad Rudolph,1968,0.35101077834402894,0.15865921787709497,0.10299967745403721,0.1342820457949925,2,0.1867379298675384,Strong
nickf,9021,0.3498344616099059,0.2223463687150838,0.06988495860660145,0.07757329338754548,2,0.17990977057978416,Strong
Martin R,1187415,0.34554754441379665,0.10949720670391061,0.1365444575852059,0.15343462443826233,2,0.18625595828529384,Strong
matt,341994,0.344711512157497,0.10837988826815642,0.10095688635630577,0.13481703402525144,2,0.17221633020180266,Strong
chepner,1126841,0.3436886570506277,0.08603351955307262,0.06300397806687454,0.07992724160068479,2,0.1431633490678149,Strong
bobince,18936,0.34332568694094934,0.12402234636871508,0.07149768842059993,0.09030601326770811,2,0.15728793374949313,Strong
Peter Lawrey,57695,0.34130266235906553,0.09273743016759775,0.0818191592301903,0.12315429060560668,2,0.15975338559061508,Strong
tvanfosson,12950,0.3407315182158952,0.11396648044692737,0.07450811740673047,0.0854911191953777,2,0.15367430881623267,Strong
Amber,148870,0.339092814926612,0.0994413407821229,0.06805719815073648,0.0594906912047935,2,0.14152051126606624,Strong
kennytm,224671,0.3353923880363984,0.12402234636871508,0.11708418449629072,0.1083886154504601,2,0.17122188358796608,Strong
Tim Biegeleisen,1863229,0.3352949732643157,0.035754189944134075,0.03375981077303516,0.042478065482559384,1,0.11182175986601108,Average
deceze,476,0.3344896333334668,0.0994413407821229,0.08568971078378669,0.10196875668735288,2,0.1553973603966823,Strong
Suragch,3681880,0.32888628226530714,0.37988826815642457,0.15213417912052468,0.15364861973036592,2,0.2536393373181556,Strong
Johannes Schaub - litb,34509,0.324574677763944,0.14748603351955306,0.09869906461670788,0.13096511876738712,2,0.175431223666898,Strong
GManNickG,87234,0.32214531348207104,0.06256983240223463,0.053220083861950325,0.05874170768243099,1,0.12416923435717174,Average
NPE,367273,0.32008759322793856,0.12737430167597763,0.1033222234168369,0.10999358014123689,2,0.1651944246154975,Strong
Cascabel,119963,0.31928692386835394,0.08491620111731843,0.04031824534996237,0.03391825379841644,1,0.11960990603351279,Average
Oded,1583,0.31843354377593003,0.11396648044692737,0.09579615095151059,0.10956558955702975,2,0.15944044118284945,Strong
torek,1256452,0.3180645686460548,0.07932960893854749,0.08138909794645738,0.09544190027819388,2,0.1435562939523134,Strong
Jerry Coffin,179910,0.3143568022867117,0.09273743016759775,0.06966992796473498,0.12326128825165847,2,0.1500063621676757,Strong
alex,31671,0.31274478797608135,0.22905027932960892,0.09472099774217826,0.105927669591269,2,0.18561093365978437,Strong
Paolo Bergantino,16417,0.31128089749697413,0.09273743016759775,0.05537039028061498,0.04654397603252729,1,0.12648317349442853,Average
Nicol Bolas,734069,0.30589773050270025,0.07374301675977653,0.09181808407698097,0.11438048362936015,1,0.14645982874220448,Average
