display_name,user_id,reputation_scaled,gold_badges_scaled,silver_badges_scaled,bronze_badges_scaled,badge_score_scaled,weighted_badge_score_scaled,cluster,quality_score,candidate_level
Jon Skeet,22656,1.0000000000000002,0.9999999999999999,0.9999999999999999,1.0,1.0,1.0,2,1.0,Strong
VonC,6309,0.8941688584990386,0.635754189944134,0.5139232340608536,0.615022469505671,0.5676768710965496,0.5552434762729025,2,0.6302981832298582,Strong
Gordon Linoff,1144035,0.8356686189654552,0.06927374301675977,0.07504569401139663,0.09158998502032956,0.08231800962424492,0.07916653058558412,1,0.20551043020396173,Average
Martijn Pieters,100297,0.7444129959312653,0.36424581005586587,0.45521986883130844,0.36903488123261285,0.4095935292310843,0.42068650184525946,2,0.4605322645212327,Strong
BalusC,157882,0.7280933527095319,0.42122905027932955,0.3922158907644339,0.3844425422640702,0.3895771475376267,0.3921094745092916,2,0.4512779096773807,Strong
T.J. Crowder,157247,0.7063485073521465,0.22458100558659216,0.21685840232233092,0.21025037449176118,0.21372990682911847,0.2151605212449786,2,0.29782145297115464,Strong
Marc Gravell,23354,0.6989910231620302,0.3050279329608938,0.2825502634125363,0.3173550181895998,0.2999385686495341,0.29481694372775075,2,0.3664466250170575,Strong
Darin Dimitrov,29407,0.679698894942839,0.30949720670391057,0.35641328889366736,0.3155360582067194,0.33444251049452234,0.33952774421111076,2,0.38918595057546157,Strong
CommonsWare,115145,0.6590869967292657,0.21787709497206703,0.2624448983980217,0.28696768671089234,0.27183372581140575,0.26568470557496976,2,0.3273158513661037,Strong
Greg Hewgill,893,0.6544150910160895,0.21564245810055865,0.12665304805934846,0.13931093515942647,0.13642879082625167,0.13792089878833402,1,0.23506187032500145,Average
Quentin,19068,0.6174188288075498,0.153072625698324,0.1365444575852059,0.15043869034881233,0.1435957817139347,0.1418400339658382,1,0.22381840301994416,Average
Hans Passant,17034,0.6159649466954374,0.16871508379888267,0.18847435759595743,0.2819387973464584,0.23195454080065528,0.21489924556647833,2,0.2836578286339783,Strong
SLaks,34397,0.5791374922768769,0.20335195530726255,0.2082571766476723,0.21346030387331477,0.21019760417733185,0.2090532022600346,1,0.27057628909041553,Average
akrun,3732271,0.5788372412670326,0.042458100558659215,0.062358886141275126,0.07468435694414723,0.06696017200778132,0.06394722231294295,1,0.1482076632053064,Average
paxdiablo,14860,0.5776142188202672,0.27150837988826815,0.1730996667025051,0.21431628504172906,0.19698986382717315,0.19393187236683104,1,0.2712433811077956,Average
Alex Martelli,95810,0.5768362350925375,0.19553072625698323,0.1336415439200086,0.15086668093301947,0.14436367359475788,0.14393023939384042,1,0.2241948498651912,Average
unutbu,190597,0.5759828550001135,0.2201117318435754,0.19793570583808193,0.18371495827091802,0.1918193918296304,0.19517293183970735,1,0.2607895957703378,Average
jezrael,2901002,0.5634296938907595,0.11508379888268155,0.15396193957638962,0.14294885512518724,0.14656496365311766,0.14680427185734346,1,0.2114655871642465,Average
Mark Byers,61974,0.5474009605363418,0.22569832402234635,0.1734222126653048,0.15739353734217845,0.1678099723558923,0.172735882948496,1,0.2407434816450933,Average
Christian C. Salvad&#243;,5445,0.5390860092370556,0.20670391061452512,0.09880657993764111,0.09019901562165633,0.09926282379440976,0.1052287795159868,1,0.18988118645354576,Average
Felix Kling,218196,0.5316117607653332,0.20223463687150836,0.11869691431028921,0.1251872458805906,0.1252687621582881,0.12760050948757307,1,0.20509997157893042,Average
Ignacio Vazquez-Abrams,20862,0.5208107311045368,0.17877094972067037,0.14611332114826361,0.148084742135673,0.14820313299887378,0.1491884124236585,1,0.21519521492194596,Average
Lara Bailey,19563,0.5197138140819059,0.12290502793296089,0.06891732071820235,0.07115343462443827,0.07207945121326918,0.07390835755576604,1,0.1547795676877571,Average
anubhava,548225,0.5118866038675,0.07486033519553072,0.06397161595527363,0.0716884228546972,0.06777925668065937,0.06685391423625854,1,0.14284002479831992,Average
Barmar,1491895,0.5108303875373146,0.06368715083798882,0.058595849908611976,0.07136742991654184,0.06455411078120202,0.06251020608119143,1,0.13859085584380845,Average
marc_s,13302,0.4915656155212425,0.2078212290502793,0.1482636275669283,0.16060346672373207,0.15654755810381898,0.15686338547960416,1,0.2202774804076009,Average
Jonathan Leffler,15168,0.4913928043844655,0.16201117318435754,0.1023545855284378,0.14262786218703188,0.12398894235691615,0.11946830399425194,1,0.19030727860591012,Average
JaredPar,23283,0.4912560233688697,0.16983240223463686,0.13482421245027415,0.15664455381981596,0.14651377086106276,0.14415885561252817,1,0.20720496972453126,Average
Sergey Kalinichenko,335858,0.4708522991887885,0.09497206703910614,0.1235351037522847,0.16820029959340893,0.14323743216955054,0.13426303928933014,1,0.18917670683874488,Average
BoltClock,106224,0.4705073441397008,0.1843575418994413,0.15256424040425762,0.14840573507382837,0.15168424285860552,0.1536954178777883,1,0.21020242037560366,Average
Stephen C,139985,0.46709649266787034,0.10726256983240223,0.09031286958391571,0.13620800342392467,0.11267533531278796,0.10539207681504949,1,0.16982455793932508,Average
jfriend00,816620,0.45883692099928874,0.11731843575418993,0.1118159337705623,0.10988658249518511,0.11078120200675745,0.11130343904111827,1,0.16999041901118364,Average
Guffa,69083,0.45346309514754335,0.12625698324022344,0.08063649069992473,0.10945859191097797,0.09614006347906215,0.09301414154609883,1,0.1598282276706384,Average
JB Nizet,571407,0.4475895181705239,0.10502793296089384,0.13471669712934092,0.13642199871602823,0.13381795843145286,0.132238152780953,1,0.18163537636486546,Average
Bergi,1048572,0.43194043553744266,0.18100558659217875,0.11041823459843028,0.15931949497111061,0.13668475478652606,0.13112773114732681,1,0.19174937293883587,Average
Erwin Brandstetter,939860,0.4310156624271224,0.17877094972067037,0.1241801956778841,0.14198587631072115,0.13484181427255043,0.13400176361082985,1,0.1907993770032964,Average
Eric Lippert,88656,0.4270430079546501,0.20670391061452512,0.1349317277712074,0.22351808260218275,0.1802498208252278,0.16786962343642836,1,0.22338602886737025,Average
G&#252;nter Z&#246;chbauer,217408,0.42578729150903494,0.26256983240223464,0.22115901515966024,0.17194521720522146,0.19919115388553293,0.20941245631797248,1,0.24834416107994275,Average
Gumbo,53114,0.4229802781792245,0.12513966480446925,0.08418449629072143,0.09094799914401884,0.08892187979932427,0.08942160096672001,1,0.1502659865307464,Average
Nick Craver,13249,0.4055330256094095,0.1541899441340782,0.13944737125040318,0.12390327412796918,0.1323333674618614,0.13560207714164407,1,0.18183484328756094,Average
Wiktor Stribiżew,3832970,0.40538290010448735,0.04581005586592178,0.05311256854101709,0.0676225123047293,0.059332445991604386,0.0564682060158725,1,0.11462144813727208,Average
cletus,18393,0.4026346025277132,0.1888268156424581,0.09805397269110848,0.10089878022683502,0.10320466878263541,0.10646983898886313,1,0.1666814464766022,Average
David Heffernan,505088,0.3955546837155863,0.05139664804469273,0.12020212880335449,0.1643483843355446,0.1378109962117334,0.12724125542963519,1,0.16609234942342446,Average
Remy Lebeau,65863,0.39168945238219155,0.04022346368715084,0.05451026771314912,0.09330194735715815,0.0720282584212143,0.06466573042881871,1,0.1194031866649471,Average
Sven Marnach,279627,0.39002139121639023,0.13743016759776536,0.10310719277497044,0.09244596618874384,0.09921163100235487,0.10245272543192135,1,0.154111512368691,Average
Frank van Puffelen,209103,0.3870135433222174,0.09497206703910614,0.09525857434684443,0.09276695912689921,0.09368280946042798,0.09405924426009994,1,0.14295886625926585,Average
Daniel Roseman,104349,0.3858318887923638,0.0759776536312849,0.09687130416084293,0.09865182965974749,0.09639602743933655,0.09516966589372612,1,0.14148306159621696,Average
Bite code,9951,0.38518334661110026,0.1318435754189944,0.03225459627996989,0.035737213781296816,0.03808743728882974,0.0416081518011692,1,0.11078572019689338,Average
Bozho,203907,0.38402304326416886,0.16424581005586592,0.1143963014729599,0.12315429060560668,0.1205078324971844,0.12103595806525361,1,0.17122720599350658,Average
Pascal Thivent,70604,0.36589989230997116,0.15642458100558657,0.1140737555101602,0.12112133533062273,0.11902324152759293,0.11953362291387701,1,0.1660127380996351,Average
Bill Karwin,20860,0.3630655227770416,0.09720670391061452,0.07547575529512957,0.09330194735715815,0.08462168526671446,0.08239981710702506,1,0.13267857195228056,Average
Reed Copsey,65358,0.3624149789223791,0.08938547486033518,0.12654553273841523,0.14883372565803552,0.13514897102487972,0.1296907149155753,1,0.16533656635327001,Average
Konrad Rudolph,1968,0.35101077834402894,0.15865921787709497,0.10299967745403721,0.1342820457949925,0.12014948295280026,0.11701884450831183,1,0.16402000782187762,Average
nickf,9021,0.3498344616099059,0.2223463687150838,0.06988495860660145,0.07757329338754548,0.08016791235794,0.0851758711910905,1,0.14749714431136118,Average
Martin R,1187415,0.34554754441379665,0.10949720670391061,0.1365444575852059,0.15343462443826233,0.14303266100133102,0.1389333420425226,1,0.17116497269750486,Average
matt,341994,0.344711512157497,0.10837988826815642,0.10095688635630577,0.13481703402525144,0.11712910822156242,0.111532055259806,1,0.15292108071476318,Average
chepner,1126841,0.3436886570506277,0.08603351955307262,0.06300397806687454,0.07992724160068479,0.07177229446093991,0.06976060615957412,1,0.11903104948196226,Average
bobince,18936,0.34332568694094934,0.12402234636871508,0.07149768842059993,0.09030601326770811,0.08252278079246443,0.081420033312649,1,0.13218242485051432,Average
Peter Lawrey,57695,0.34130266235906553,0.09273743016759775,0.0818191592301903,0.12315429060560668,0.10172007781304393,0.09497370913485091,1,0.1392845548850592,Average
tvanfosson,12950,0.3407315182158952,0.11396648044692737,0.07450811740673047,0.0854911191953777,0.08119176819903758,0.08089748195564846,1,0.1294644142366028,Average
Amber,148870,0.339092814926612,0.0994413407821229,0.06805719815073648,0.0594906912047935,0.06501484590969592,0.06776837911100951,1,0.11647754501416174,Average
kennytm,224671,0.3353923880363984,0.12402234636871508,0.11708418449629072,0.1083886154504601,0.11288010648100748,0.1146347039419968,1,0.1520670574624781,Average
Tim Biegeleisen,1863229,0.3352949732643157,0.035754189944134075,0.03375981077303516,0.042478065482559384,0.037626702160335826,0.03615402201247591,1,0.08684462727280934,Average
deceze,476,0.3344896333334668,0.0994413407821229,0.08568971078378669,0.10196875668735288,0.09373400225248285,0.09144648747509716,1,0.13446165521905154,Average
Suragch,3681880,0.32888628226530714,0.37988826815642457,0.15213417912052468,0.15364861973036592,0.16294665711067882,0.17218067213168292,1,0.224947446419164,Average
Johannes Schaub - litb,34509,0.324574677763944,0.14748603351955306,0.09869906461670788,0.13096511876738712,0.11600286679635508,0.11241386067474445,1,0.15502360368978194,Average
GManNickG,87234,0.32214531348207104,0.06256983240223463,0.053220083861950325,0.05874170768243099,0.05590252892392752,0.055292465462621246,1,0.10131198863587261,Average
NPE,367273,0.32008759322793856,0.12737430167597763,0.1033222234168369,0.10999358014123689,0.10724889935497083,0.10705770926548876,1,0.1458473845137416,Average
Cascabel,119963,0.31928692386835394,0.08491620111731843,0.04031824534996237,0.03391825379841644,0.038906521961707796,0.041836768019856946,1,0.09319715235260263,Average
Oded,1583,0.31843354377593003,0.11396648044692737,0.09579615095151059,0.10956558955702975,0.10284631923825126,0.1011790064992325,1,0.14029784841148027,Average
torek,1256452,0.3180645686460548,0.07932960893854749,0.08138909794645738,0.09544190027819388,0.0876420599979523,0.0850778928116529,1,0.1244908547698098,Average
Jerry Coffin,179910,0.3143568022867117,0.09273743016759775,0.06966992796473498,0.12326128825165847,0.09598648510289752,0.0876253306770306,1,0.13060621074177184,Average
alex,31671,0.31274478797608135,0.22905027932960892,0.09472099774217826,0.105927669591269,0.1058666939694891,0.10950716875142885,1,0.1596362662266759,Average
Paolo Bergantino,16417,0.31128089749697413,0.09273743016759775,0.05537039028061498,0.04654397603252729,0.05247261185625064,0.05552108168130899,1,0.10232106458587896,Average
Nicol Bolas,734069,0.30589773050270025,0.07374301675977653,0.09181808407698097,0.11438048362936015,0.10141292106071466,0.09670466050491525,1,0.1306594827557413,Average
willeM_ Van Onsem,67579,0.3058817171155086,0.036871508379888264,0.050962262122352435,0.06655253584421143,0.057387119893518995,0.05405140598974493,1,0.09528442489087079,Average
Kerrek SB,596781,0.3050717066133955,0.10726256983240223,0.09622621223524352,0.1181254012411727,0.1068393570185318,0.10346516868610993,1,0.13949840260447594,Average
alecxe,771848,0.3018350007272747,0.1418994413407821,0.12030964412428771,0.1318210999358014,0.12644619637555032,0.12531434730069563,1,0.1579376216340653,Average
Mysticial,922184,0.29988003304095556,0.05139664804469273,0.03580260187076658,0.0358442114273486,0.03614211119074435,0.03674189228910153,1,0.08263458297726822,Average
Mark Longair,223092,0.29963049109055173,0.08603351955307262,0.04494140415009138,0.03509522790498609,0.04172212552472612,0.04510271400111042,1,0.09208758037075639,Average
Tim Schmelter,284240,0.2924338079968187,0.088268156424581,0.07644339318352865,0.10475069548469934,0.09015050680864135,0.08569842254809105,1,0.12295749707439335,Average
Matthew Rankin,95592,0.2920628311935445,0.043575418994413403,0.012901838511987958,0.017547613952493046,0.016125729497286783,0.016558346124955093,1,0.06646196304578013,Average
Stephen Cleary,263693,0.2916738393296796,0.08715083798882681,0.07665842382539512,0.09169698266638135,0.08395617897000103,0.08174662791077436,1,0.1188138151151764,Average
Martin Smith,73226,0.28938192328786866,0.10837988826815642,0.08257176647672293,0.09469291675583137,0.08917784375959865,0.08811522257421862,1,0.12538659352039946,Average
codaddict,227665,0.28929318243384805,0.09273743016759775,0.05300505322008386,0.05735073828375776,0.05651684242858606,0.05738267089062347,1,0.10104765290408281,Average
mklement0,45375,0.2870479721046795,0.0759776536312849,0.07741103107192775,0.105927669591269,0.09061124193713525,0.08556778470884092,1,0.12042389217418957,Average
Pekka,187606,0.2852611449838732,0.16759776536312848,0.10536501451456833,0.11737641771881019,0.11359680556977578,0.11407949312518371,1,0.1505461068792233,Average
Rob,1271826,0.2787750559467715,0.08268156424581005,0.09052790022578218,0.12005135887010486,0.10392136787140371,0.0984356118749796,1,0.12906547650580866,Average
Shepmaster,155423,0.27801775617749774,0.12960893854748604,0.13514675841307386,0.1621014337684571,0.1474352411180506,0.1424932231620889,1,0.16580055853110906,Average
Jon,50079,0.2774205902801409,0.09497206703910614,0.08031394473712504,0.08752407447036166,0.08405856455411079,0.08337960090140109,1,0.11794480699704092,Average
mu is too short,479863,0.2754709603895523,0.07932960893854749,0.09171056875604774,0.08773806976246523,0.08887068700726938,0.08899702798915707,1,0.11868615380717322,Average
gbn,27535,0.27425527741191635,0.09497206703910614,0.06364906999247393,0.07361438048362937,0.06946861881847037,0.06900943858388582,1,0.10749480872158033,Average
Quassnoi,55159,0.2695566827200873,0.10502793296089384,0.06655198365767122,0.06655253584421143,0.067932835056824,0.06949933048107385,1,0.10752021678679362,Average
